Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
21,Designer Boy👩🏿‍🦲,https://t.co/xFxwEJnARc,ayotomcs,Òrí Òkè,Tue Dec 22 21:46:38 +0000 2020,450,515,352,3378,@officialnyscng  does your system know I received the first mail? And the second one too? https://t.co/AfavkTrPNV,Wed Apr 09 13:17:00 +0000 2025,0,0,en,13,False,False,0,0,,[],False,13,0,False,True,352,3378,"[{'display_url': 'pic.x.com/AfavkTrPNV', 'expanded_url': 'https://x.com/ayotomcs/status/1909958727236469020/photo/1', 'id_str': '1909958713508581376', 'indices': [90, 113], 'media_key': '3_1909958713508581376', 'media_url_https': 'https://pbs.twimg.com/media/GoGJVJ5XUAAfFpx.jpg', 'type': 'photo', 'url': 'https://t.co/AfavkTrPNV', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 10, 'y': 289, 'h': 76, 'w': 76}]}, 'medium': {'faces': [{'x': 10, 'y': 289, 'h': 76, 'w': 76}]}, 'small': {'faces': [{'x': 6, 'y': 191, 'h': 50, 'w': 50}]}, 'orig': {'faces': [{'x': 10, 'y': 289, 'h': 76, 'w': 76}]}}, 'sizes': {'large': {'h': 1024, 'w': 472, 'resize': 'fit'}, 'medium': {'h': 1024, 'w': 472, 'resize': 'fit'}, 'small': {'h': 680, 'w': 313, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1024, 'width': 472, 'focus_rects': [{'x': 0, 'y': 352, 'w': 472, 'h': 264}, {'x': 0, 'y': 248, 'w': 472, 'h': 472}, {'x': 0, 'y': 215, 'w': 472, 'h': 538}, {'x': 0, 'y': 12, 'w': 472, 'h': 944}, {'x': 0, 'y': 0, 'w': 472, 'h': 1024}]}, 'media_results': {'result': {'media_key': '3_1909958713508581376'}}}]",@officialnyscng  does your system know I received the first mail? And the second one too? https://t.co/AfavkTrPNV
22,SeaLord 🐕,,KenrenJohn,🌎 ,Sat May 30 06:25:53 +0000 2015,672,666,64,2424,@officialnyscng @NGRPresident do the needful now.,Tue Apr 08 21:53:44 +0000 2025,1,1,en,23,False,False,0,0,,[],,23,1,False,True,64,2424,,@officialnyscng @NGRPresident do the needful now.
23,Thomas Hope 🇧🇪,,biq_stainless,"Taraba, Nigeria",Sun Sep 03 16:39:07 +0000 2023,221,451,111,2853,@officialnyscng Congratulations 🎊,Mon May 05 09:38:38 +0000 2025,0,0,en,29,False,False,0,0,,[],,29,0,False,True,111,2853,,@officialnyscng Congratulations 🎊
24,Alabi Tioluwani Stephen.,,Special_One02,Nigeria,Fri Aug 04 14:10:45 +0000 2017,1555,1438,2928,102487,@officialnyscng Happy married life.,Sun May 04 11:38:43 +0000 2025,0,0,en,276,False,False,0,0,,[],,276,0,False,False,2928,102487,,@officialnyscng Happy married life.
25,The Samurai,,Nwachukwu_Josh,"Kaduna, Nigeria ",Fri Apr 08 14:18:53 +0000 2022,80,539,47,3051,@officialnyscng 500k✅,Sun May 04 07:45:53 +0000 2025,0,0,und,533,False,False,0,0,,[],,533,0,False,True,47,3051,,@officialnyscng 500k✅
26,SONOFGOD,,wlfheim,,Fri Aug 23 19:03:40 +0000 2019,74,246,257,3669,"@officialnyscng 
Where is my money oh",Fri May 02 15:35:14 +0000 2025,0,0,en,2,False,False,0,0,,[],,2,0,False,False,257,3669,,"@officialnyscng 
Where is my money oh"
27,Nkem Favour💋,,J55Golden,"Lagos, Nigeria",Wed Nov 23 03:32:04 +0000 2022,55,429,72,5364,@officialnyscng Congratulations,Sun May 04 19:21:54 +0000 2025,0,0,en,146,False,False,0,0,"<Place id=""00817d75276a95cf"" name=""Lagos"">",[],,146,0,False,False,72,5364,,@officialnyscng Congratulations
28,Hafiz Muhktar,,HafizMuhktar,kaduna,Sun Jan 03 09:14:05 +0000 2016,668,1079,41,1319,@officialnyscng Please about arrears that you promised us sir.,Sat Apr 19 11:39:29 +0000 2025,0,3,en,932,False,False,0,1,,[],,932,0,False,False,41,1319,,@officialnyscng Please about arrears that you promised us sir.
29,_abisolar🫧🎀,,ajmoneyyy,Starboy island,Fri May 12 01:10:25 +0000 2017,4085,923,260,66124,"@officialnyscng  @jidesanwoolu  @RLasustech it’s really not fair that we won’t get to  go for NYSC after spending 6 good years in school,we all switched from part time to full time because we wanted to go for service why are be being deprived now 😭we need to be reconsidered 🙁",Tue Apr 08 09:31:52 +0000 2025,16,21,en,1845,False,False,1,7,,[],,1845,16,False,True,260,66124,,"@officialnyscng  @jidesanwoolu  @RLasustech it’s really not fair that we won’t get to  go for NYSC after spending 6 good years in school,we all switched from part time to full time because we wanted to go for service why are be being deprived now 😭we need to be reconsidered 🙁"
30,Simon igba(Dev),,IgbaSimon1,"Lagos, Nigeria",Tue Aug 21 05:28:17 +0000 2018,488,1529,69,7192,@officialnyscng Idoma to the world,Sun May 04 06:41:17 +0000 2025,0,0,en,576,False,False,0,0,,[],,576,0,False,False,69,7192,,@officialnyscng Idoma to the world
