Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
23,Enenebe eje olu,,Chioma_amby,Nigeria,Tue Oct 04 10:59:35 +0000 2022,277,564,49,4029,They should scrap NYSC. God please,Tue Jun 03 20:34:07 +0000 2025,0,0,en,109,False,False,0,1,,[],,109,0,False,True,49,4029,[],They should scrap NYSC. God please
24,15 ャ,,_dxmmii,In my mind,Sat Feb 10 22:11:42 +0000 2018,1713,1648,2186,132826,can they scrap this useless nysc thing.,Fri Jul 18 10:06:45 +0000 2025,0,1,en,126,False,False,0,0,,[],,126,0,False,False,2186,132826,[],can they scrap this useless nysc thing.
25,Ọládélé 🇳🇬👑,https://t.co/9QaUA7YJzL,Theoladeledada,Nigeria,Sat Mar 21 15:32:32 +0000 2015,149431,10762,26513,108756,"1. Scrap NYSC
2. Scrap IDP camp
3. Adopt igbo’s apprenticeship system for fresh graduates.",Thu Jul 10 16:33:09 +0000 2025,1,23,en,2627,True,False,0,4,,[],,2627,1,False,True,26513,108756,[],"1. Scrap NYSC
2. Scrap IDP camp
3. Adopt igbo’s apprenticeship system for fresh graduates."
26,Uche Ogugua-Eze 🕊️☀️,https://t.co/57KNtQiNR2,ajebolawyer,"Abuja, Nigeria ",Sat May 30 12:43:07 +0000 2020,628,99,3803,20559,"Little beginnings.

Scrap NYSC. 🤡 ‼️",Mon Jul 07 20:28:11 +0000 2025,0,0,en,44,False,False,0,0,,[],,44,0,False,True,3803,20559,[],"Little beginnings.

Scrap NYSC. 🤡 ‼️"
27,ADC News,,ADCNews_,California,Mon Aug 26 20:35:16 +0000 2024,16513,2700,1444,3719,"FG has set up a committee to SCRAP NYSC.

They are copying Peter Obi manifesto.

Clueless Tinubu https://t.co/zCaAMmuj2z",Thu May 08 06:28:43 +0000 2025,143,311,en,7808,False,False,4,73,,[],False,7808,143,False,True,1444,3719,[<Photo id=1920365210633666560>],"FG has set up a committee to SCRAP NYSC.

They are copying Peter Obi manifesto.

Clueless Tinubu https://t.co/zCaAMmuj2z"
28,Majid_***$,,blvckmajid,abuja,Thu Dec 15 23:09:52 +0000 2022,206,843,18,621,Make them scrap nysc cuz what is all these mental stress from batch A to B from stream 1 to 2 🥲 nothing dey work for this country,Tue May 27 07:22:21 +0000 2025,3,27,en,7684,False,False,0,6,,[],,7684,3,False,True,18,621,[],Make them scrap nysc cuz what is all these mental stress from batch A to B from stream 1 to 2 🥲 nothing dey work for this country
29,Naija,https://t.co/9vgVpPPFpC,Naija_PR,Nigeria,Tue Sep 24 18:00:41 +0000 2013,6874031,186051,190769,400095,Do you still want them to scrap NYSC? https://t.co/vxqGaWWQzH,Thu Oct 26 14:36:02 +0000 2023,59,870,en,48772,True,False,2,46,,[],False,48772,59,False,True,190769,400095,[<Photo id=1717550649095622656>],Do you still want them to scrap NYSC? https://t.co/vxqGaWWQzH
30,Gravemind99,,Gravemind99,,Tue Aug 09 12:37:46 +0000 2016,3023,2948,53,54920,I hope they scrap this nysc nonsense someday,Mon Jun 09 09:06:19 +0000 2025,0,2,en,353,False,False,1,1,,[],,353,0,False,True,53,54920,[],I hope they scrap this nysc nonsense someday
31,Adepet UI✨UX,,adebolujo_peter,,Thu Jan 13 02:59:24 +0000 2022,463,1304,75,2289,"6 months after convocation I still can't go for NYSC because government keeps shifting batches, they might as well just scrap this NYSC thing",Tue May 27 10:18:44 +0000 2025,0,6,en,413,False,False,0,0,,[],,413,0,False,False,75,2289,[],"6 months after convocation I still can't go for NYSC because government keeps shifting batches, they might as well just scrap this NYSC thing"
32,Nigeria Stories,https://t.co/nBGwPohPIR,NigeriaStories,Nigeria,Sat Mar 09 09:21:12 +0000 2019,666619,1,26916,58479,BREAKING: NYSC officials absconded after  viral NYSC corp member came to their office with Sowore and other lawyers https://t.co/pqgn6KIcsu,Mon Mar 17 14:19:12 +0000 2025,342,2206,en,105217,True,False,20,117,,[],False,105217,342,False,True,26916,58479,"[<Photo id=1901639317086183424>, <Photo id=1901639347046318081>]",BREAKING: NYSC officials absconded after  viral NYSC corp member came to their office with Sowore and other lawyers https://t.co/pqgn6KIcsu
33,Officialmekus,https://t.co/NwF94TYDek,GreatBCMekus,"Lagos, Nigeria",Thu Feb 16 15:07:22 +0000 2012,180,1851,137,3697,"COURT ORDERS NYSC, TO ALLOW FEMALE 'CORPERS' WEAR SKIRTS- https://t.co/kHAHsJdvQY",Sun Jul 27 21:03:18 +0000 2025,0,0,en,86,False,False,0,0,,[],False,86,0,False,True,137,3697,[<Photo id=1949576348327981056>],"COURT ORDERS NYSC, TO ALLOW FEMALE 'CORPERS' WEAR SKIRTS- https://t.co/kHAHsJdvQY"
34,Anomnézè…,,sochiblaise,,Thu Aug 30 00:49:17 +0000 2012,2607,793,1050,194075,Govt. needs to scrap JAMB &amp; NYSC. Shitty organisations.,Sat Jul 12 06:08:21 +0000 2025,0,0,en,45,False,False,0,0,,[],,45,0,False,False,1050,194075,[],Govt. needs to scrap JAMB &amp; NYSC. Shitty organisations.
35,H.A.L.L.E.L.U.Y.A.H(farmerstician),,Hallelu2Omisore,,Tue Jun 28 05:24:52 +0000 2022,665,581,424,7545,"Dear lord, please scrap Nysc.🤲🤲🥲😪",Thu Jun 26 10:41:23 +0000 2025,0,2,en,125,False,False,0,1,,[],,125,0,False,True,424,7545,[],"Dear lord, please scrap Nysc.🤲🤲🥲😪"
36,0xsteeze🧨,https://t.co/ppk8FPgLkC,steeze_x1,Met-averse,Sun Apr 05 04:52:46 +0000 2015,2001,1429,1765,35864,"Ngl the government should just scrap this shit program called @officialnyscng. Asuu will delay you, now nysc is a problem, 7 months stalled and waiting!

Scrap this shit, we are not even interested or make it optional.",Tue May 27 12:02:00 +0000 2025,0,5,en,596,True,False,1,5,,[],,596,0,False,True,1765,35864,[],"Ngl the government should just scrap this shit program called @officialnyscng. Asuu will delay you, now nysc is a problem, 7 months stalled and waiting!

Scrap this shit, we are not even interested or make it optional."
37,Efe Johnson,https://t.co/vywOOO6cNM,theefejohnson,Impact.,Thu Mar 22 15:02:24 +0000 2018,11881,2099,368,15626,Is this how I'll keep dodging NYSC year after year after year? 💀I can't misuse an entire year of my precious life. Scrap the damn scheme already.,Mon Jun 09 11:05:08 +0000 2025,2,29,en,2986,False,False,0,5,,[],,2986,2,False,False,368,15626,[],Is this how I'll keep dodging NYSC year after year after year? 💀I can't misuse an entire year of my precious life. Scrap the damn scheme already.
38,Tayo Aina,https://t.co/TzUk52VxiX,tayoainafilms,New York,Tue May 19 22:50:40 +0000 2015,114579,243,1641,18072,"Having to shower in the stupid ass cold butt naked because the toilets were so fucked up. You feel dirtier coming out than you did going in. 

I believe NYSC should be scrapped. It serves absolutely no purpose. https://t.co/tMeA1wGeJI",Sat May 13 19:10:22 +0000 2023,66,296,en,55126,True,False,13,46,,[],False,55126,66,False,True,1641,18072,[<Photo id=1657463305915490309>],"Having to shower in the stupid ass cold butt naked because the toilets were so fucked up. You feel dirtier coming out than you did going in. 

I believe NYSC should be scrapped. It serves absolutely no purpose. https://t.co/tMeA1wGeJI"
39,POOJAGADGETS,,JamesSu19862228,"Lagos, Nigeria",Sat May 07 17:23:16 +0000 2022,64,14,85,2233,"@nysc360 Scrap this shit

I don’t understand why someone will graduate since November register NYSC April and haven’t received a call up number over 8months now

You people think people don’t have anything to do with their lives?

What sort of madness is this?",Sat Jul 19 10:59:00 +0000 2025,0,5,en,1034,False,False,0,1,,[],,1034,0,False,True,85,2233,[],"@nysc360 Scrap this shit

I don’t understand why someone will graduate since November register NYSC April and haven’t received a call up number over 8months now

You people think people don’t have anything to do with their lives?

What sort of madness is this?"
40,"Ôbóng Ûmfundïsï Émém, QBE, Esq by faith",,dedonnse1,You won't believe me,Fri Jan 14 05:47:58 +0000 2022,13239,13871,1464,21681,"@ShehuSani Next would be to sew the uniforms with Òfòng Osíñ.

Scrap NYSC now.",Mon Jul 28 16:41:04 +0000 2025,0,2,en,73,False,False,0,0,,[],,73,0,False,False,1464,21681,[],"@ShehuSani Next would be to sew the uniforms with Òfòng Osíñ.

Scrap NYSC now."
41,BUCOS,,TENIBEGILOJU202,,Mon Jul 13 19:54:05 +0000 2020,20201,5249,12536,44295,"KEYAMO SAID TINUBU DIDN'T GO TO SCHOOL, THAT HE WROTE HIS WAEC FROM HOME, CAN'T THE SAME PERSON SCRAP GCE NOW TO SAVE OUR CHILDREN FROM SYSTEM GLITCHES? We want our children to be great like those men who wrote their GCE and WAEC from home, scrap Jamb and NYSC pls. https://t.co/yhsRctWkJ9",Sat May 17 21:19:03 +0000 2025,85,101,en,1878,False,False,4,12,,[],False,1878,85,False,True,12536,44295,[<Video id=1923850741107601408>],"KEYAMO SAID TINUBU DIDN'T GO TO SCHOOL, THAT HE WROTE HIS WAEC FROM HOME, CAN'T THE SAME PERSON SCRAP GCE NOW TO SAVE OUR CHILDREN FROM SYSTEM GLITCHES? We want our children to be great like those men who wrote their GCE and WAEC from home, scrap Jamb and NYSC pls. https://t.co/yhsRctWkJ9"
42,Wizgirfriend,,bigwizgirli,Not your business ,Fri Jul 28 14:16:41 +0000 2023,4494,494,1087,13514,NYSC set to pay 77k after Raye rant 🙌 queen 👸 and more ❤️ https://t.co/ZPFrKoif5B,Wed Mar 26 14:33:30 +0000 2025,13,134,en,4261,False,False,1,13,,[],False,4261,13,False,False,1087,13514,[<Photo id=1904904539230085120>],NYSC set to pay 77k after Raye rant 🙌 queen 👸 and more ❤️ https://t.co/ZPFrKoif5B
43,Channels Television,https://t.co/8UPmxt8H3Y,channelstv,Nigeria,Mon Mar 22 14:29:10 +0000 2010,7339441,191,147747,224073,"NYSC DG Kicks Against Scrapping Scheme, Says Reforms Ongoing https://t.co/VPMzv2yI6N",Fri Apr 04 11:23:04 +0000 2025,23,231,en,30946,True,False,2,34,,[],False,30946,23,False,False,147747,224073,[<Video id=1908116893564653568>],"NYSC DG Kicks Against Scrapping Scheme, Says Reforms Ongoing https://t.co/VPMzv2yI6N"
44,ENGR. OJ,,OyokunyiOkon,HEART OF NIGERIAN PEOPLE ,Wed Mar 02 11:16:42 +0000 2022,6683,6868,1194,10605,"NYSC SHOULD BE SCRAP IMMEDIATELY. 

Nigerians will resist this...
NYSC should be scrapped immediately, it has lost purposefulness and has become a tool of disunity among Nigerians instead of uniting  Nigerians which was its primary purpose https://t.co/PWuPg4LrsH",Tue Jun 24 17:22:47 +0000 2025,0,0,en,50,True,False,0,0,,[],False,50,0,False,False,1194,10605,[<Photo id=1937562055319449600>],"NYSC SHOULD BE SCRAP IMMEDIATELY. 

Nigerians will resist this...
NYSC should be scrapped immediately, it has lost purposefulness and has become a tool of disunity among Nigerians instead of uniting  Nigerians which was its primary purpose https://t.co/PWuPg4LrsH"
45,Timmy,,raji_timothy,"Abeokuta, Nigeria",Fri Feb 17 00:34:01 +0000 2017,2124,2786,715,85871,I'm sorry but it's high time Nysc scrap this nonsense posting of people to far north side until they fix this insecurity and bad roads issue. A friend of mine in my area died going for nysc service at Niger. I'm fuming rn. This Nysc stuff is nonsense,Mon Jun 30 17:03:51 +0000 2025,0,0,en,132,False,False,0,0,,[],,132,0,False,False,715,85871,[],I'm sorry but it's high time Nysc scrap this nonsense posting of people to far north side until they fix this insecurity and bad roads issue. A friend of mine in my area died going for nysc service at Niger. I'm fuming rn. This Nysc stuff is nonsense
46,this here na journal of a jolly Yorùbá man.,,JollyArakunrin,Èkó.,Thu Feb 05 04:49:10 +0000 2015,600,546,600,27489,"vamos (not worried abt corruption, NYSC neegas get paid).

these ones actually deserve stipends. NYSC? ion get it. scrap that sh1t.
if you graduate and enroll in a technical/vocational college for a year instead, that’s when you should get a stipend.

na mùmú country i dey shá.",Wed May 28 14:19:51 +0000 2025,0,0,en,152,False,False,0,0,,[],,152,0,False,False,600,27489,[],"vamos (not worried abt corruption, NYSC neegas get paid).

these ones actually deserve stipends. NYSC? ion get it. scrap that sh1t.
if you graduate and enroll in a technical/vocational college for a year instead, that’s when you should get a stipend.

na mùmú country i dey shá."
47,Dewdrop,,OyinAtiBode,🇮🇹,Mon Jan 31 00:08:17 +0000 2022,7256,1180,1419,23086,"Scrap JAMB and NYSC ! 

You make education unnecessarily difficult when it should be easy and accessible to all. 

Education should be enjoyable not a struggle. When you school abroad you'll notice Nigeria unnecessarily stress the hell out of students. 

Instead of NYSC, make",Wed May 14 22:19:25 +0000 2025,12,23,en,670,False,False,0,4,,[],,670,12,False,True,1419,23086,[],"Scrap JAMB and NYSC ! 

You make education unnecessarily difficult when it should be easy and accessible to all. 

Education should be enjoyable not a struggle. When you school abroad you'll notice Nigeria unnecessarily stress the hell out of students. 

Instead of NYSC, make graduates start internship at any jobs and not necessarily what they studied at school, so they start to gain their first real job experience and they will get paid by their employer not the government. 

The saved money should be reinvested in education and a free education should be provided for all up to secondary school level.

Let's constantly upgrade our ways of doing things. The NYSC and JAMB are a waste of time and money."
48,Duke,https://t.co/7WyInd0zwI,ChkwkSnny,In a good place.,Wed Jun 13 23:02:04 +0000 2012,599,608,258,5802,"Scrap NYSC. It's a total waste of time. 
Serving ones' country is a life time duty. Directly or indirectly, a persn who is livin  in Nig is serving the country. This question the need fr NYSC. Half the political class don't hv NYSC cert. U can't say they ar nt serving the nation.",Sun Jun 29 08:30:34 +0000 2025,0,0,en,62,False,False,0,1,,[],,62,0,False,True,258,5802,[],"Scrap NYSC. It's a total waste of time. 
Serving ones' country is a life time duty. Directly or indirectly, a persn who is livin  in Nig is serving the country. This question the need fr NYSC. Half the political class don't hv NYSC cert. U can't say they ar nt serving the nation."
49,Cryýpto ↪️Business Man,,DOGENIGERIA,Eagle Eyes ,Sat Aug 24 16:32:17 +0000 2024,121,827,36,3221,"@nysc360 Scrap this shit

Nysc should request money from the FG to build more hostels to accommodate people or just scrap this shit",Sat Jul 19 11:16:22 +0000 2025,0,6,en,584,False,False,0,0,,[],,584,0,False,True,36,3221,[],"@nysc360 Scrap this shit

Nysc should request money from the FG to build more hostels to accommodate people or just scrap this shit"
50,YabaLeftOnline,https://t.co/rYeQ3kOVvx,yabaleftonline,Nigeria,Mon Aug 20 09:46:29 +0000 2012,4973831,62,76322,152195,I exercised my rights. I did not break NYSC bye-laws - NYSC corper challenges threats over freedom of speech. https://t.co/EYJtTAi1Yh,Sun Mar 16 12:27:46 +0000 2025,280,1644,en,91061,True,False,11,95,,[],False,91061,280,False,True,76322,152195,"[<Photo id=1901248254802554880>, <Photo id=1901248395819544576>, <Photo id=1901248410348326912>, <Photo id=1901248635775373313>]",I exercised my rights. I did not break NYSC bye-laws - NYSC corper challenges threats over freedom of speech. https://t.co/EYJtTAi1Yh
